Line, Expression, Evaluation
1, g12>1 && g12>0, 1 - g12<0, True
2, g12>1 && g12>0, -2*g12^2 + 2*g12<0, True
3, g12>1 && g12>0, 1 - g12^2<0, True
4, g12>1 && g12>0, -g12^2 + g12<0, True
5, g12>1 && g12>0, 2 - 2*g12<0, True
6, g12>1 && g12>0, -g12^2 + g12<0, True
7, g12>1 && g12>0, -3*g12^2 + 2*g12 + 1<0, True
8, g12>1 && g12>0, -g12^2 + g12<0, True
9, g12>1 && g12>0, 3 - 3*g12<0, True
10, g12>1 && g12>0, 1 - g12<0, True
11, g12>1 && g12>0, 1 - g12<0, True
12, g12>1 && g12>0, 1 - g12^2<0, True
13, g12>1 && g12>0, 4 - 4*g12<0, True
14, g12>1 && g12>0, -g12^2 + g12<0, True
15, g12>1 && g12>0, -g12^2 + g12<0, True
16, g12>1 && g12>0, -2*g12^2 + 2*g12<0, True
17, g12>1 && g12>0, 3 - 3*g12<0, True
18, g12>1 && g12>0, 1 - g12<0, True
19, g12>1 && g12>0, 2 - 2*g12<0, True
20, g12>1 && g12>0, 2 - 2*g12<0, True
21, g12>1 && g12>0, -2*g12^2 + 2*g12<0, True
22, g12>1 && g12>0, 2 - 2*g12<0, True
23, g12>1 && g12>0, -2*g12^2 + 2*g12<0, True
24, g12>1 && g12>0, 2 - 2*g12<0, True
25, g12>1 && g12>0, -2*g12^2 + 2*g12<0, True
26, g12>1 && g12>0, 4 - 4*g12<0, True
27, g12>1 && g12>0, -2*g12^2 + 2*g12<0, True
28, g12>1 && g12>0, 2 - 2*g12<0, True
29, g12>1 && g12>0, -g12^2 + g12<0, True
30, g12>1 && g12>0, 1 - g12<0, True
31, g12>1 && g12>0, 1 - g12<0, True
