Line, Expression, Evaluation
191, g21>1 && g21>0 && g32>1 && g32>0, 2*g21^2*g32 + 2*g21^2 + 4*g21*g32 - 6*g21 - 2>0, True
192, g21>1 && g21>0 && g32>1 && g32>0, 2*g21*g32^2 + 2*g21*g32 - 2*g32 - 2>0, True
193, g21>1 && g21>0 && g32>1 && g32>0, 2*g21*g32 + 2*g21 + 2*g32 - 6>0, True
194, g21>1 && g21>0 && g32>1 && g32>0, 4*g21*g32^2 - 2*g21*g32 + 2*g32^2 - 4*g32>0, True
195, g21>1 && g21>0 && g32>1 && g32>0, 2*g32^2 - 2*g32>0, True
196, g21>1 && g21>0 && g32>1 && g32>0, 2*g21^2*g32^2 - 2*g21*g32>0, True
197, g21>1 && g21>0 && g32>1 && g32>0, 4*g21*g32 + 2*g21 - 2*g32 - 4>0, True
198, g21>1 && g21>0 && g32>1 && g32>0, 6*g21 - 6>0, True
199, g21>1 && g21>0 && g32>1 && g32>0, 4*g21*g32 - 2*g21 + 2*g32 - 4>0, True
200, g21>1 && g21>0 && g32>1 && g32>0, 2*g21 - 2>0, True
201, g21>1 && g21>0 && g32>1 && g32>0, 8*g21*g32 + 4*g32 - 12>0, True
202, g21>1 && g21>0 && g32>1 && g32>0, 2*g21*g32 - 2>0, True
203, g21>1 && g21>0 && g32>1 && g32>0, 2*g21^2 - 2>0, True
204, g21>1 && g21>0 && g32>1 && g32>0, 2*g21*g32 - 2>0, True
205, g21>1 && g21>0 && g32>1 && g32>0, 2*g32 - 2>0, True
206, g21>1 && g21>0 && g32>1 && g32>0, 2*g21 - 2>0, True
207, g21>1 && g21>0 && g32>1 && g32>0, 2*g21 - 2>0, True
208, g21>1 && g21>0 && g32>1 && g32>0, 2*g32^2 - 2>0, True
209, g21>1 && g21>0 && g32>1 && g32>0, 2*g21*g32 - 2>0, True
210, g21>1 && g21>0 && g32>1 && g32>0, 8*g21 - 8>0, True
211, g21>1 && g21>0 && g32>1 && g32>0, 8*g32 - 8>0, True
212, g21>1 && g21>0 && g32>1 && g32>0, 2*g21 - 2>0, True
213, g21>1 && g21>0 && g32>1 && g32>0, 8*g21*g32 + 4*g21 - 12>0, True
214, g21>1 && g21>0 && g32>1 && g32>0, 2*g21 - 2>0, True
215, g21>1 && g21>0 && g32>1 && g32>0, 2*g32 - 2>0, True
216, g21>1 && g21>0 && g32>1 && g32>0, 4*g21 - 4>0, True
217, g21>1 && g21>0 && g32>1 && g32>0, 2*g21^2 - 2>0, True
218, g21>1 && g21>0 && g32>1 && g32>0, 4*g21^2*g32 - 2*g21*g32 - 2*g21>0, True
219, g21>1 && g21>0 && g32>1 && g32>0, 4*g21*g32^2 - 2*g21*g32 - 2*g32>0, True
220, g21>1 && g21>0 && g32>1 && g32>0, 8*g32 - 8>0, True
221, g21>1 && g21>0 && g32>1 && g32>0, 2*g21^2 - 2*g21>0, True
222, g21>1 && g21>0 && g32>1 && g32>0, 2*g32 - 2>0, True
223, g21>1 && g21>0 && g32>1 && g32>0, 2*g32 - 2>0, True
224, g21>1 && g21>0 && g32>1 && g32>0, 4*g21^2*g32 - 2*g21 - 2>0, True
225, g21>1 && g21>0 && g32>1 && g32>0, 2*g21^2*g32^2 + 4*g21^2*g32 - 4*g21*g32 - 2*g21>0, True
226, g21>1 && g21>0 && g32>1 && g32>0, 2*g21^2 - 2*g21>0, True
227, g21>1 && g21>0 && g32>1 && g32>0, 4*g21*g32^2 + 4*g21*g32 - 2*g21 - 4*g32 - 2>0, True
228, g21>1 && g21>0 && g32>1 && g32>0, 2*g21*g32 + 2*g21 - 4>0, True
229, g21>1 && g21>0 && g32>1 && g32>0, 2*g21 - 2>0, True
230, g21>1 && g21>0 && g32>1 && g32>0, 2*g21 - 2>0, True
231, g21>1 && g21>0 && g32>1 && g32>0, 2*g21 - 2>0, True
232, g21>1 && g21>0 && g32>1 && g32>0, 2*g21^2*g32 - 2*g21>0, True
233, g21>1 && g21>0 && g32>1 && g32>0, 2*g21*g32 + 2*g32 - 4>0, True
234, g21>1 && g21>0 && g32>1 && g32>0, 6*g21^2 - 4*g21 - 2>0, True
235, g21>1 && g21>0 && g32>1 && g32>0, 4*g21*g32^2 - 2*g32 - 2>0, True
236, g21>1 && g21>0 && g32>1 && g32>0, 2*g32^2 - 2*g32>0, True
237, g21>1 && g21>0 && g32>1 && g32>0, 2*g21 - 2>0, True
