Line, Expression, Evaluation
1, g12>1 && g12>0, 6 - 6*g12>0, False
2, g12>1 && g12>0, -3*g12^2 + 3*g12>0, False
3, g12>1 && g12>0, 6 - 6*g12>0, False
4, g12>1 && g12>0, 3 - 3*g12>0, False
5, g12>1 && g12>0, 1 - g12^2>0, False
6, g12>1 && g12>0, 8 - 8*g12>0, False
7, g12>1 && g12>0, -g12^2 + g12>0, False
8, g12>1 && g12>0, -g12^2 + g12>0, False
9, g12>1 && g12>0, 2 - 2*g12>0, False
10, g12>1 && g12>0, 2 - 2*g12^2>0, False
11, g12>1 && g12>0, 1 - g12>0, False
12, g12>1 && g12>0, -3*g12^2 + 2*g12 + 1>0, False
13, g12>1 && g12>0, -4*g12^2 + 4*g12>0, False
14, g12>1 && g12>0, 2 - 2*g12>0, False
15, g12>1 && g12>0, -3*g12^2 + 2*g12 + 1>0, False
16, g12>1 && g12>0, -2*g12^2 + 2*g12>0, False
17, g12>1 && g12>0, -g12^2 + g12>0, False
18, g12>1 && g12>0, -g12^2 + g12>0, False
19, g12>1 && g12>0, -g12^2 + g12>0, False
20, g12>1 && g12>0, 1 - g12^2>0, False
21, g12>1 && g12>0, 3 - 3*g12>0, False
22, g12>1 && g12>0, 2 - 2*g12>0, False
23, g12>1 && g12>0, 1 - g12>0, False
24, g12>1 && g12>0, -g12^2 + g12>0, False
25, g12>1 && g12>0, -g12^2 + g12>0, False
26, g12>1 && g12>0, 2 - 2*g12>0, False
27, g12>1 && g12>0, 2 - 2*g12^2>0, False
28, g12>1 && g12>0, 2 - 2*g12>0, False
29, g12>1 && g12>0, -4*g12^2 + 4*g12>0, False
30, g12>1 && g12>0, -2*g12^2 + 2*g12>0, False
31, g12>1 && g12>0, 3 - 3*g12>0, False
32, g12>1 && g12>0, -g12^2 + g12>0, False
33, g12>1 && g12>0, 2 - 2*g12^2>0, False
34, g12>1 && g12>0, 2 - 2*g12>0, False
35, g12>1 && g12>0, 3 - 3*g12>0, False
36, g12>1 && g12>0, 4 - 4*g12>0, False
37, g12>1 && g12>0, -4*g12^2 + 4*g12>0, False
38, g12>1 && g12>0, 2 - 2*g12>0, False
39, g12>1 && g12>0, 6 - 6*g12>0, False
40, g12>1 && g12>0, 2 - 2*g12>0, False
41, g12>1 && g12>0, 2 - 2*g12>0, False
42, g12>1 && g12>0, 2 - 2*g12>0, False
43, g12>1 && g12>0, -6*g12^2 + 4*g12 + 2>0, False
44, g12>1 && g12>0, 1 - g12>0, False
45, g12>1 && g12>0, 3 - 3*g12^2>0, False
46, g12>1 && g12>0, 2 - 2*g12>0, False
47, g12>1 && g12>0, -2*g12^2 + 2*g12>0, False
48, g12>1 && g12>0, -2*g12^2 + 2*g12>0, False
49, g12>1 && g12>0, -4*g12^2 + 4*g12>0, False
50, g12>1 && g12>0, -2*g12^2 + 2*g12>0, False
51, g12>1 && g12>0, 3 - 3*g12>0, False
52, g12>1 && g12>0, -g12^2 + g12>0, False
53, g12>1 && g12>0, -2*g12^2 + 2*g12>0, False
54, g12>1 && g12>0, 1 - g12>0, False
55, g12>1 && g12>0, 3 - 3*g12^2>0, False
56, g12>1 && g12>0, 1 - g12>0, False
57, g12>1 && g12>0, 1 - g12>0, False
58, g12>1 && g12>0, -2*g12^2 + 2*g12>0, False
59, g12>1 && g12>0, 2 - 2*g12>0, False
60, g12>1 && g12>0, 6 - 6*g12>0, False
61, g12>1 && g12>0, 1 - g12>0, False
62, g12>1 && g12>0, 2 - 2*g12>0, False
63, g12>1 && g12>0, 1 - g12^2>0, False
64, g12>1 && g12>0, 1 - g12>0, False
65, g12>1 && g12>0, 3 - 3*g12>0, False
66, g12>1 && g12>0, -g12^2 + g12>0, False
67, g12>1 && g12>0, 1 - g12^2>0, False
68, g12>1 && g12>0, 1 - g12^2>0, False
69, g12>1 && g12>0, -2*g12^2 + 2*g12>0, False
70, g12>1 && g12>0, -6*g12^2 + 4*g12 + 2>0, False
71, g12>1 && g12>0, 4 - 4*g12^2>0, False
72, g12>1 && g12>0, -g12^2 + g12>0, False
73, g12>1 && g12>0, -g12^2 + g12>0, False
74, g12>1 && g12>0, 1 - g12^2>0, False
75, g12>1 && g12>0, 8 - 8*g12>0, False
76, g12>1 && g12>0, 1 - g12^2>0, False
77, g12>1 && g12>0, -3*g12^2 + 3*g12>0, False
78, g12>1 && g12>0, 2 - 2*g12>0, False
79, g12>1 && g12>0, -2*g12^2 + 2*g12>0, False
80, g12>1 && g12>0, -2*g12^2 + 2*g12>0, False
81, g12>1 && g12>0, -3*g12^2 + 2*g12 + 1>0, False
82, g12>1 && g12>0, 4 - 4*g12>0, False
83, g12>1 && g12>0, 1 - g12>0, False
84, g12>1 && g12>0, 3 - 3*g12>0, False
85, g12>1 && g12>0, 4 - 4*g12>0, False
86, g12>1 && g12>0, 2 - 2*g12^2>0, False
87, g12>1 && g12>0, 2 - 2*g12^2>0, False
88, g12>1 && g12>0, -2*g12^2 + 2*g12>0, False
89, g12>1 && g12>0, 4 - 4*g12>0, False
90, g12>1 && g12>0, -g12^2 + g12>0, False
91, g12>1 && g12>0, 3 - 3*g12^2>0, False
92, g12>1 && g12>0, 2 - 2*g12>0, False
93, g12>1 && g12>0, 2 - 2*g12>0, False
94, g12>1 && g12>0, -g12^2 + g12>0, False
95, g12>1 && g12>0, 2 - 2*g12>0, False
96, g12>1 && g12>0, 2 - 2*g12>0, False
97, g12>1 && g12>0, 2 - 2*g12^2>0, False
98, g12>1 && g12>0, 4 - 4*g12>0, False
99, g12>1 && g12>0, 4 - 4*g12>0, False
100, g12>1 && g12>0, -2*g12^2 + 2*g12>0, False
101, g12>1 && g12>0, 10 - 10*g12>0, False
102, g12>1 && g12>0, 1 - g12>0, False
103, g12>1 && g12>0, 1 - g12>0, False
104, g12>1 && g12>0, 3 - 3*g12>0, False
105, g12>1 && g12>0, 4 - 4*g12>0, False
106, g12>1 && g12>0, -3*g12^2 + 2*g12 + 1>0, False
107, g12>1 && g12>0, 1 - g12>0, False
108, g12>1 && g12>0, -g12^2 + g12>0, False
109, g12>1 && g12>0, -2*g12^2 + 2*g12>0, False
110, g12>1 && g12>0, -g12^2 + g12>0, False
111, g12>1 && g12>0, -3*g12^2 + 2*g12 + 1>0, False
112, g12>1 && g12>0, 2 - 2*g12>0, False
113, g12>1 && g12>0, 1 - g12^2>0, False
114, g12>1 && g12>0, 8 - 8*g12>0, False
115, g12>1 && g12>0, 1 - g12^2>0, False
116, g12>1 && g12>0, 1 - g12^2>0, False
117, g12>1 && g12>0, 4 - 4*g12>0, False
118, g12>1 && g12>0, -2*g12^2 + 2*g12>0, False
119, g12>1 && g12>0, 3 - 3*g12^2>0, False
120, g12>1 && g12>0, 1 - g12>0, False
121, g12>1 && g12>0, 3 - 3*g12>0, False
122, g12>1 && g12>0, 1 - g12>0, False
