Line, Expression, Evaluation
1, g12<1 && g12>0, g12^2 - 1>0, False
2, g12<1 && g12>0, 2*g12 - 2>0, False
3, g12<1 && g12>0, g12 - 1>0, False
4, g12<1 && g12>0, g12^2 - 1>0, False
5, g12<1 && g12>0, g12^2 - 1>0, False
6, g12<1 && g12>0, g12^2 - 1>0, False
7, g12<1 && g12>0, 2*g12^2 - 2>0, False
8, g12<1 && g12>0, g12^2 - g12>0, False
9, g12<1 && g12>0, 2*g12 - 2>0, False
10, g12<1 && g12>0, g12 - 1>0, False
11, g12<1 && g12>0, 2*g12 - 2>0, False
12, g12<1 && g12>0, 2*g12 - 2>0, False
13, g12<1 && g12>0, 2*g12^2 - 2>0, False
14, g12<1 && g12>0, g12^2 - 1>0, False
15, g12<1 && g12>0, 2*g12^2 - 2>0, False
16, g12<1 && g12>0, 2*g12 - 2>0, False
17, g12<1 && g12>0, g12^2 - g12>0, False
18, g12<1 && g12>0, 4*g12 - 4>0, False
19, g12<1 && g12>0, 2*g12 - 2>0, False
20, g12<1 && g12>0, g12 - 1>0, False
21, g12<1 && g12>0, g12 - 1>0, False
22, g12<1 && g12>0, 2*g12^2 - 2>0, False
23, g12<1 && g12>0, 2*g12 - 2>0, False
24, g12<1 && g12>0, g12^2 - g12>0, False
25, g12<1 && g12>0, 2*g12 - 2>0, False
26, g12<1 && g12>0, g12^2 - 1>0, False
27, g12<1 && g12>0, g12 - 1>0, False
28, g12<1 && g12>0, 2*g12^2 - 2*g12>0, False
29, g12<1 && g12>0, g12^2 - 1>0, False
30, g12<1 && g12>0, 2*g12^2 - 2*g12>0, False
31, g12<1 && g12>0, 2*g12^2 - 2*g12>0, False
32, g12<1 && g12>0, 2*g12 - 2>0, False
33, g12<1 && g12>0, 2*g12^2 - 2>0, False
34, g12<1 && g12>0, 2*g12 - 2>0, False
35, g12<1 && g12>0, 2*g12^2 - 2*g12>0, False
36, g12<1 && g12>0, 2*g12^2 - 2*g12>0, False
37, g12<1 && g12>0, 2*g12^2 - 2*g12>0, False
38, g12<1 && g12>0, 2*g12^2 - 2*g12>0, False
39, g12<1 && g12>0, 2*g12 - 2>0, False
40, g12<1 && g12>0, 2*g12 - 2>0, False
41, g12<1 && g12>0, 2*g12 - 2>0, False
42, g12<1 && g12>0, 8*g12 - 8>0, False
43, g12<1 && g12>0, 4*g12 - 4>0, False
44, g12<1 && g12>0, 6*g12 - 6>0, False
45, g12<1 && g12>0, 6*g12 - 6>0, False
46, g12<1 && g12>0, 4*g12 - 4>0, False
47, g12<1 && g12>0, 6*g12^2 - 4*g12 - 2>0, False
48, g12<1 && g12>0, 6*g12^2 - 4*g12 - 2>0, False
49, g12<1 && g12>0, 2*g12^2 - 2*g12>0, False
50, g12<1 && g12>0, 2*g12^2 - 2*g12>0, False
51, g12<1 && g12>0, 2*g12^2 - 2>0, False
52, g12<1 && g12>0, 4*g12 - 4>0, False
53, g12<1 && g12>0, 6*g12 - 6>0, False
54, g12<1 && g12>0, 4*g12^2 - 2*g12 - 2>0, False
55, g12<1 && g12>0, 4*g12^2 - 4*g12>0, False
56, g12<1 && g12>0, 2*g12 - 2>0, False
57, g12<1 && g12>0, 6*g12 - 6>0, False
58, g12<1 && g12>0, 4*g12^2 - 4*g12>0, False
59, g12<1 && g12>0, g12^2 - 1>0, False
60, g12<1 && g12>0, 5*g12^2 - 4*g12 - 1>0, False
61, g12<1 && g12>0, g12 - 1>0, False
62, g12<1 && g12>0, 4*g12 - 4>0, False
63, g12<1 && g12>0, 6*g12 - 6>0, False
64, g12<1 && g12>0, g12 - 1>0, False
65, g12<1 && g12>0, 6*g12 - 6>0, False
66, g12<1 && g12>0, 6*g12 - 6>0, False
67, g12<1 && g12>0, 4*g12^2 - 4*g12>0, False
68, g12<1 && g12>0, g12^2 - g12>0, False
69, g12<1 && g12>0, g12 - 1>0, False
70, g12<1 && g12>0, 2*g12 - 2>0, False
71, g12<1 && g12>0, 2*g12 - 2>0, False
72, g12<1 && g12>0, 2*g12 - 2>0, False
73, g12<1 && g12>0, 2*g12 - 2>0, False
74, g12<1 && g12>0, 2*g12 - 2>0, False
75, g12<1 && g12>0, 2*g12^2 - 2*g12>0, False
76, g12<1 && g12>0, 4*g12 - 4>0, False
77, g12<1 && g12>0, g12 - 1>0, False
