Line, Expression, Evaluation
1, g21>1 && g21>0, 2*g21^2 - 2<0, False
2, g21>1 && g21>0, 3*g21 - 3<0, False
3, g21>1 && g21>0, 2*g21 - 2<0, False
4, g21>1 && g21>0, 3*g21 - 3<0, False
5, g21>1 && g21>0, g21^2 - 1<0, False
6, g21>1 && g21>0, 4*g21 - 4<0, False
7, g21>1 && g21>0, g21 - 1<0, False
8, g21>1 && g21>0, g21 - 1<0, False
9, g21>1 && g21>0, 4*g21 - 4<0, False
10, g21>1 && g21>0, 3*g21 - 3<0, False
11, g21>1 && g21>0, 2*g21 - 2<0, False
12, g21>1 && g21>0, g21^2 + 2*g21 - 3<0, False
13, g21>1 && g21>0, 2*g21 - 2<0, False
14, g21>1 && g21>0, g21 - 1<0, False
15, g21>1 && g21>0, g21 - 1<0, False
16, g21>1 && g21>0, g21^2 - 1<0, False
17, g21>1 && g21>0, 3*g21^2 - 3*g21<0, False
18, g21>1 && g21>0, 2*g21 - 2<0, False
19, g21>1 && g21>0, g21 - 1<0, False
20, g21>1 && g21>0, g21 - 1<0, False
21, g21>1 && g21>0, 2*g21 - 2<0, False
22, g21>1 && g21>0, 4*g21 - 4<0, False
23, g21>1 && g21>0, 4*g21 - 4<0, False
24, g21>1 && g21>0, 2*g21 - 2<0, False
25, g21>1 && g21>0, g21 - 1<0, False
26, g21>1 && g21>0, g21 - 1<0, False
27, g21>1 && g21>0, 4*g21 - 4<0, False
28, g21>1 && g21>0, g21^2 - 1<0, False
29, g21>1 && g21>0, 3*g21 - 3<0, False
30, g21>1 && g21>0, 2*g21^2 - 2<0, False
31, g21>1 && g21>0, 4*g21 - 4<0, False
32, g21>1 && g21>0, g21^2 - 1<0, False
33, g21>1 && g21>0, 3*g21^2 - 3<0, False
34, g21>1 && g21>0, 2*g21^2 - 2*g21<0, False
35, g21>1 && g21>0, 6*g21 - 6<0, False
36, g21>1 && g21>0, g21^2 - g21<0, False
37, g21>1 && g21>0, 3*g21^2 - 3<0, False
38, g21>1 && g21>0, 2*g21 - 2<0, False
39, g21>1 && g21>0, 2*g21 - 2<0, False
40, g21>1 && g21>0, 2*g21 - 2<0, False
41, g21>1 && g21>0, 3*g21^2 - 3*g21<0, False
42, g21>1 && g21>0, g21 - 1<0, False
43, g21>1 && g21>0, 3*g21^2 - 3<0, False
44, g21>1 && g21>0, g21^2 - g21<0, False
45, g21>1 && g21>0, g21^2 - g21<0, False
46, g21>1 && g21>0, g21^2 - g21<0, False
47, g21>1 && g21>0, 2*g21^2 - 2*g21<0, False
48, g21>1 && g21>0, 3*g21^2 - 3<0, False
49, g21>1 && g21>0, g21 - 1<0, False
50, g21>1 && g21>0, g21^2 - 1<0, False
51, g21>1 && g21>0, 2*g21 - 2<0, False
