Line, Expression, Evaluation
114, g23>1 && g23>0, 12 - 12*g23>0, False
115, g23>1 && g23>0, 1 - g23^2>0, False
116, g23>1 && g23>0, 1 - g23^2>0, False
117, g23>1 && g23>0, -g23^2 + g23>0, False
118, g23>1 && g23>0, 2 - 2*g23>0, False
119, g23>1 && g23>0, 3 - 3*g23>0, False
120, g23>1 && g23>0, 2 - 2*g23>0, False
121, g23>1 && g23>0, 6 - 6*g23>0, False
122, g23>1 && g23>0, 1 - g23^2>0, False
123, g23>1 && g23>0, -g23^2 + g23>0, False
124, g23>1 && g23>0, 4 - 4*g23>0, False
125, g23>1 && g23>0, 3 - 3*g23^2>0, False
126, g23>1 && g23>0, 3 - 3*g23^2>0, False
127, g23>1 && g23>0, 1 - g23^2>0, False
128, g23>1 && g23>0, 4 - 4*g23>0, False
129, g23>1 && g23>0, -3*g23^2 + g23 + 2>0, False
130, g23>1 && g23>0, 1 - g23>0, False
131, g23>1 && g23>0, -2*g23^2 + 2*g23>0, False
132, g23>1 && g23>0, -g23^2 + g23>0, False
133, g23>1 && g23>0, 1 - g23>0, False
134, g23>1 && g23>0, -g23^2 + g23>0, False
135, g23>1 && g23>0, 8 - 8*g23>0, False
136, g23>1 && g23>0, 1 - g23^2>0, False
137, g23>1 && g23>0, -g23^2 + g23>0, False
138, g23>1 && g23>0, 6 - 6*g23>0, False
139, g23>1 && g23>0, -3*g23^2 + 3*g23>0, False
140, g23>1 && g23>0, -2*g23^2 + 2*g23>0, False
141, g23>1 && g23>0, 3 - 3*g23>0, False
142, g23>1 && g23>0, 4 - 4*g23>0, False
143, g23>1 && g23>0, 4 - 4*g23>0, False
144, g23>1 && g23>0, 2 - 2*g23^2>0, False
145, g23>1 && g23>0, 1 - g23^2>0, False
146, g23>1 && g23>0, 2 - 2*g23>0, False
147, g23>1 && g23>0, 1 - g23>0, False
148, g23>1 && g23>0, 1 - g23^2>0, False
149, g23>1 && g23>0, 4 - 4*g23>0, False
150, g23>1 && g23>0, -4*g23^2 + 4*g23>0, False
151, g23>1 && g23>0, -g23^2 + g23>0, False
152, g23>1 && g23>0, 1 - g23^2>0, False
153, g23>1 && g23>0, 12 - 12*g23>0, False
154, g23>1 && g23>0, -g23^2 + g23>0, False
155, g23>1 && g23>0, 2 - 2*g23^2>0, False
156, g23>1 && g23>0, 8 - 8*g23>0, False
