Line, Expression, Evaluation
115, g23>1 && g23>0, 2*g23^2 - 2*g23>0, True
116, g23>1 && g23>0, 2*g23 - 2>0, True
117, g23>1 && g23>0, 2*g23^2 - 2*g23>0, True
118, g23>1 && g23>0, 4*g23 - 4>0, True
119, g23>1 && g23>0, 2*g23 - 2>0, True
120, g23>1 && g23>0, 4*g23 - 4>0, True
121, g23>1 && g23>0, 2*g23 - 2>0, True
122, g23>1 && g23>0, 4*g23 - 4>0, True
123, g23>1 && g23>0, 2*g23 - 2>0, True
124, g23>1 && g23>0, g23 - 1>0, True
125, g23>1 && g23>0, g23 - 1>0, True
