Line, Expression, Evaluation
1, g12>1 && g12>0 && g23>1 && g23>0, -4*g12^2*g23 - 2*g12*g23^2 + 6*g12*g23>0, False
2, g12>1 && g12>0 && g23>1 && g23>0, -4*g12*g23 - 4*g12 - 4*g23 + 12>0, False
3, g12>1 && g12>0 && g23>1 && g23>0, -g12^2*g23^2 + g12*g23^2>0, False
4, g12>1 && g12>0 && g23>1 && g23>0, -3*g12^2*g23^2 + 2*g12*g23 + g23>0, False
5, g12>1 && g12>0 && g23>1 && g23>0, -g12^2*g23^2 + g12*g23>0, False
6, g12>1 && g12>0 && g23>1 && g23>0, -3*g12*g23 + 3>0, False
7, g12>1 && g12>0 && g23>1 && g23>0, -g12^2*g23 - 2*g12*g23 + 2*g12 + 1>0, False
8, g12>1 && g12>0 && g23>1 && g23>0, -g12^2*g23 + g12^2 - 2*g12*g23^2 + 2*g12*g23>0, False
9, g12>1 && g12>0 && g23>1 && g23>0, -2*g12*g23 + 2*g23>0, False
10, g12>1 && g12>0 && g23>1 && g23>0, -g12^2*g23 + g12^2>0, False
11, g12>1 && g12>0 && g23>1 && g23>0, -2*g12 - 2*g23 + 4>0, False
12, g12>1 && g12>0 && g23>1 && g23>0, -2*g12*g23 + 2>0, False
13, g12>1 && g12>0 && g23>1 && g23>0, -g12^2*g23^2 + g12^2*g23>0, False
14, g12>1 && g12>0 && g23>1 && g23>0, -2*g12^2*g23 + g12^2 - g12*g23 + 2*g12>0, False
15, g12>1 && g12>0 && g23>1 && g23>0, -2*g12*g23 - 2*g12 - 2*g23 + 6>0, False
16, g12>1 && g12>0 && g23>1 && g23>0, -3*g12*g23 - 3*g12 - 3*g23 + 9>0, False
17, g12>1 && g12>0 && g23>1 && g23>0, -4*g12*g23 + 4*g23>0, False
18, g12>1 && g12>0 && g23>1 && g23>0, -2*g12^2*g23 + 2*g12^2 - 6*g12*g23^2 + 4*g12*g23 + 2*g12>0, False
19, g12>1 && g12>0 && g23>1 && g23>0, -2*g12^2*g23 + g12^2 - g12*g23 + 2*g12>0, False
20, g12>1 && g12>0 && g23>1 && g23>0, -3*g12^2*g23^2 + 2*g12^2*g23 + g12^2>0, False
21, g12>1 && g12>0 && g23>1 && g23>0, -2*g12^2*g23 - g12*g23^2 + 3*g12*g23 - g23^2 + g23>0, False
22, g12>1 && g12>0 && g23>1 && g23>0, -g12^2*g23 - 2*g12*g23 + 2*g12 + 1>0, False
23, g12>1 && g12>0 && g23>1 && g23>0, 2 - 2*g12>0, False
24, g12>1 && g12>0 && g23>1 && g23>0, -2*g12^2*g23 - g12*g23^2 + 3*g12*g23>0, False
25, g12>1 && g12>0 && g23>1 && g23>0, -2*g12*g23^2 - 4*g12*g23 + 4*g23 + 2>0, False
26, g12>1 && g12>0 && g23>1 && g23>0, -2*g12^2 - 2*g12*g23 + 4*g12 - 2*g23^2 + 2*g23>0, False
27, g12>1 && g12>0 && g23>1 && g23>0, -2*g12*g23 + 2*g12>0, False
28, g12>1 && g12>0 && g23>1 && g23>0, -g12^2 - 3*g12*g23 + 3*g12 - g23 + 2>0, False
29, g12>1 && g12>0 && g23>1 && g23>0, -3*g12^2*g23^2 + 2*g12*g23 + 1>0, False
30, g12>1 && g12>0 && g23>1 && g23>0, -2*g12^2*g23^2 + g12*g23^2 + g12*g23>0, False
31, g12>1 && g12>0 && g23>1 && g23>0, -g12^2*g23^2 + g12*g23>0, False
32, g12>1 && g12>0 && g23>1 && g23>0, -4*g12^2*g23 + 4*g12^2>0, False
33, g12>1 && g12>0 && g23>1 && g23>0, -g12^2*g23^2 + g12*g23>0, False
34, g12>1 && g12>0 && g23>1 && g23>0, -g12*g23 + 1>0, False
35, g12>1 && g12>0 && g23>1 && g23>0, 1 - g23>0, False
36, g12>1 && g12>0 && g23>1 && g23>0, -4*g12*g23 + 4*g12>0, False
37, g12>1 && g12>0 && g23>1 && g23>0, -g12^2*g23^2 + g12^2*g23>0, False
38, g12>1 && g12>0 && g23>1 && g23>0, -g12^2*g23^2 + g12^2*g23>0, False
39, g12>1 && g12>0 && g23>1 && g23>0, -g12^2*g23^2 + g12^2>0, False
40, g12>1 && g12>0 && g23>1 && g23>0, -g12^2*g23^2 + g12^2*g23>0, False
