Line, Expression, Evaluation
30, g21>1 && g21>0 && g32>1 && g32>0, -2*g21*g32^2 + g21*g32 - g32^2 + 2*g32<0, True
31, g21>1 && g21>0 && g32>1 && g32>0, -g21^2*g32 - g21*g32 + g21 + 1<0, True
32, g21>1 && g21>0 && g32>1 && g32>0, -2*g21*g32 - 2*g32 + 4<0, True
33, g21>1 && g21>0 && g32>1 && g32>0, 2 - 2*g32<0, True
34, g21>1 && g21>0 && g32>1 && g32>0, 1 - g32^2<0, True
35, g21>1 && g21>0 && g32>1 && g32>0, 2 - 2*g32^2<0, True
36, g21>1 && g21>0 && g32>1 && g32>0, -g21^2*g32 + g21<0, True
37, g21>1 && g21>0 && g32>1 && g32>0, -g21*g32 - g21 - g32 + 3<0, True
38, g21>1 && g21>0 && g32>1 && g32>0, -2*g21*g32^2 - g21*g32 + g21 - g32^2 + g32 + 2<0, True
39, g21>1 && g21>0 && g32>1 && g32>0, -g21*g32^2 + g32<0, True
40, g21>1 && g21>0 && g32>1 && g32>0, -g21^2*g32^2 - 2*g21*g32^2 + 2*g21*g32 + g32<0, True
41, g21>1 && g21>0 && g32>1 && g32>0, -3*g21*g32^2 + g21*g32 - g32^2 + 3*g32<0, True
42, g21>1 && g21>0 && g32>1 && g32>0, 2 - 2*g32<0, True
43, g21>1 && g21>0 && g32>1 && g32>0, 1 - g32^2<0, True
44, g21>1 && g21>0 && g32>1 && g32>0, -g21^2*g32^2 - g21*g32^2 + g21*g32 + g32<0, True
45, g21>1 && g21>0 && g32>1 && g32>0, -g21^2*g32^2 - g21^2*g32 - 2*g21*g32^2 + 2*g21 + g32 + 1<0, True
46, g21>1 && g21>0 && g32>1 && g32>0, -g21^2*g32^2 - g21^2*g32 + g21*g32 + g21<0, True
47, g21>1 && g21>0 && g32>1 && g32>0, 1 - g32^2<0, True
48, g21>1 && g21>0 && g32>1 && g32>0, 1 - g32<0, True
49, g21>1 && g21>0 && g32>1 && g32>0, -2*g21*g32^2 - 3*g21*g32 + g21 - 2*g32^2 + 3*g32 + 3<0, True
50, g21>1 && g21>0 && g32>1 && g32>0, -2*g21^2*g32^2 + 2*g21*g32<0, True
51, g21>1 && g21>0 && g32>1 && g32>0, -2*g21*g32 + 2<0, True
52, g21>1 && g21>0 && g32>1 && g32>0, -8*g21*g32 + 2*g21 - 4*g32 + 10<0, True
53, g21>1 && g21>0 && g32>1 && g32>0, 4 - 4*g32<0, True
54, g21>1 && g21>0 && g32>1 && g32>0, 2 - 2*g32<0, True
55, g21>1 && g21>0 && g32>1 && g32>0, -2*g21*g32 + 2<0, True
56, g21>1 && g21>0 && g32>1 && g32>0, 2 - 2*g32<0, True
57, g21>1 && g21>0 && g32>1 && g32>0, 2 - 2*g32^2<0, True
58, g21>1 && g21>0 && g32>1 && g32>0, -2*g21^2*g32^2 + 2*g21*g32<0, True
59, g21>1 && g21>0 && g32>1 && g32>0, -2*g21*g32 - 2*g32 + 4<0, True
60, g21>1 && g21>0 && g32>1 && g32>0, -4*g32^2 + 2*g32 + 2<0, True
61, g21>1 && g21>0 && g32>1 && g32>0, -2*g21^2*g32 - 2*g21^2 - 4*g21*g32 + 6*g21 + 2<0, True
62, g21>1 && g21>0 && g32>1 && g32>0, -2*g21*g32 - 2*g21 - 2*g32 + 6<0, True
